Sub area 1,Sub area 2,,,,,,,,,
Question 1?,Question 1?,,,,,,,,,
A. Option1,A. Option1,,,,,,,,,
B. Option2,B. Option2,,,,,,,,,
C. Option3,C. Option3,,,,,,,,,
D. Option4,D. Option4,,,,,,,,,
A. Option1,A. Option1,,,,,,,,,
Beginner,Beginner,,,,,,,,,
Question 2?,Question 2?,,,,,,,,,
A. Option1,A. Option1,,,,,,,,,
B. Option2,B. Option2,,,,,,,,,
C. Option3,C. Option3,,,,,,,,,
D. Option4,D. Option4,,,,,,,,,
D. Option4,D. Option4,,,,,,,,,
Intermediate,Advance,,,,,,,,,
Question 3?,Question 3?,,,,,,,,,
A. Option1,A. Option1,,,,,,,,,
B. Option2,B. Option2,,,,,,,,,
C. Option3,C. Option3,,,,,,,,,
D. Option4,D. Option4,,,,,,,,,
C. Option3,C. Option3,,,,,,,,,
Beginner,Beginner,,,,,,,,,
Question 4?,Question 4?,,,,,,,,,
A. Option1,A. Option1,,,,,,,,,
B. Option2,B. Option2,,,,,,,,,
C. Option3,C. Option3,,,,,,,,,
D. Option4,D. Option4,,,,,,,,,
A. Option1,A. Option1,,,,,,,,,
Advance,Advance,,,,,,,,,
